contents,star,agree,date
"Great app, getting to workout with top trainers and Chris Hemsworth what's not to love. This is not a diet app it's a mind and body app. It has great food from pizza (yes you can have pizza) to smoothies. Its the app you can't get enough of.",5,0,2020-02-14 08:03:43
The plan is easy to follow and the self guided workouts are great. I am coming of an injury so its awesome to be able to modify and move at my own pace!,5,0,2020-08-17 12:41:33
"Hi there,  I'm trying to unsubscribe from this app but I don't know how and I want to unsubscribe before my 7 day trial ends so I dont have to ask for a refund. I also tried sending an email but it didn't go through because it detected I'm not a member. Thanks!",4,1,2020-04-07 12:49:30
"I've tried a few fitness apps and this is by far the best. So much content for health and wellbeing as well as fitness - meditation, meal planning, recipes, yoga, plates, it has everything, great value for money. I love it.",5,2,2020-12-17 10:12:00
Really easy to navigate. Classes are great and so varied. Lovely meals that are quick and easy. Fab that i can take this programme anywhere including on holiday,5,0,2022-03-13 09:56:49
"Hey, so I have an android and the app keeps crashing. What's going on?",5,4,2023-08-10 19:43:10
This program is faultless. The coached workouts are really effective and the trainers are so personable it doesn't even feel like you're working out at home. What started out as app to see me through a pandemic has become part of my daily routine!,5,0,2020-05-18 16:56:59
I have tried many types of workout plans but this is the only one that was easy to stick with and gave good meals with the recipie where others just give generals of what to eat. All in all been using now for 6 months and it has worked wonders.,5,1,2021-08-31 11:11:20
"Can't down load the app, have to use it from the internet which is not convenient and will probably stop using it which is a shame as from what I've seen its very good, one point it would be handy to be able to record the weight your using! Did contact the help desk and they told me to contact the play store which was a real faff so gave up🙁.",2,11,2020-02-19 20:21:12
"Such a great app - excellent selection of workouts, an incredibly useful daily planner & recipe options (thankfully now including gluten-free recommendations as well)! The 6 week workout programs are a great addition too, highly recommend!",5,0,2020-08-16 17:35:43
Thank you Centr team for the free trial! I only used it for the workouts but enjoyed them a lot. If I wasn't in a difficult situation financially I would continue the membership for sure. The trainers are exceptional!,5,1,2020-05-14 16:11:35
"Content is good and the app works well. That fifth star for me would be native android TV support, so I don't have to look at my phone while I work out for guidance on the movements.",4,0,2022-08-25 15:36:04
"The workouts and programmes are absolutely fantastic. It is fantastic for food recipe ideas, would be better if I had more money and had more cupboard space (HMO problems amirite) for following the actual recipes.",4,0,2020-05-28 13:03:38
Love the variety of exercises and the meal ideas are great when you want a bit of inspiration. The sleep visualisations have also been really good for me.,5,0,2020-06-22 17:20:08
Hi I downloaded the app from the Google store I'm in the UK I don't want to pay the £22:99 per month cannot afford it. I tried going to the Google store subscription part and the app is not listed and I cannot see the settings on your app please advise. Best wishes Patrick,1,3,2020-01-08 21:12:04
"I tried to cancel on day 7 of the free trial and they refused. Took the years subscription and refused to refund. Don't risk it. Is stupid really- I might have enjoyed the app but this kind of money grabbing behaviour leaves you too irritated to. Pissed I can't leave 0 stars!! 🤬 Later- Still angry... it's not a 7day free trial. It's a take your money on day 6 trial. Would warn everyone - read the fine print. I got caught. Now using it purely out of spite, to get my moneys worth. Petty 😡🤬",1,51,2021-04-08 20:56:49
Great app. Love the workouts. Don't use the food aspect because I'm on a different diet but I'd assume it's good. I like the variety of workouts and that a lot of them don't need equipment.,5,0,2020-05-26 23:14:30
I love this app. I love how it has the daily planner and that it plans out what the app recommends for each meal. And you can ✔ when each item is done. Its been a great experience so far.,5,8,2021-03-22 12:13:34
"Great so far. My biggest challenge is knowing where to begin. Having a personal trainer to guide you and motivate you throughout the workout is awesome. Your days are planned from meals, rest days, stretching and strengthening all in your schedule. Does not require a lot of your time if you are busy or if you are using work as an excuse to not workout.",5,0,2022-06-13 01:26:05
"Easy to follow, good motivation, difficulty level of your choice. This has helped me stay fit through the pandemic. Actually, I don't think my core has ever been this strong. 5 stars!",5,0,2021-03-03 12:03:01
"I'm someone who likes to I corporate different styles of exercise into my routine so I really enjoy the variety available on Centrfit. I also like HIIT workouts that don't take hours of the day away, it's quick, effective and an all rounder for working out at home and keeping consistent. Love it 💪",5,1,2021-04-23 01:04:33
"The workouts are amazing and the instructors make it entertaining. The recipes have changed how I eat. Honestly, they are delicious and I crave them.",5,0,2020-06-04 00:59:17
"For what you get, this app is a bargain. The meal planning is awesome and really well thought out. The workouts are HARD, especially Da Rulk's phwoar. It makes it really easy to stick to a routine and the meditations are awesome too. Highly recommended",5,0,2020-05-26 07:47:13
"Honestly, its amazing, the self guided and coached workouts are extremely helpful. The recipes are great and there are so many different food options.",5,0,2021-03-26 16:30:50
"Similar to others I was not notified that the auto renewal was coming up. Only received a notification of charge as I have my Google pay set up as such. Absolutely lacklustre and simply a means for this company to continue to receive subscription fees without notifying their ""valued"" customers.",1,17,2021-05-11 06:54:47
Three coaches are excellent beginner intermediate and advanced levels to follow you don't have to stop but change the level of your exercise and keep going it's really good,5,0,2020-09-10 20:19:52
Best workout program I have ever done. It really helped build lots of lean functional muscle. The meal program is also top tier. Makes meal planning and shopping a breeze. I have never eaten better.,5,0,2020-05-26 23:48:07
It's been an amazing app so far. It runs smoothly and I have no problems getting my exercises or my recipes. I'm seeing a lot of progress with the program too. Well worth the money for sure.,5,0,2020-11-15 06:01:16
"Makes no sense!!! I read the article where says: - the app is completely FREE, It is NOT! You have to pay!!!! - you can do home training, you CANNOT - you HAVE to own gym equipment (absurd concept) Are out there apps that allow you to do CrossFit, Tabata, HIIT at home without weight.",1,3,2020-03-26 06:35:33
"Great guided work outs both with and without equipment. There's something to suit everyone, regardless of age, experience and fitness level. Fab recipes too!",5,0,2020-09-25 16:57:41
"5 Stars On workouts, 1 star for the fine detail they don't tell you verbally of, it doesn't matter when, if its end of a free trail,or one year renewal,you don't cancel before they take your money,it's stolen from ya,bc your not getting it back, called same day of 1 yr renewal charge.Told no refund,but enjoy a yr of workouts and recipes,next year will be cancelled.Even after I said I don't have time to use the program right now,it's about the money,not customer.To think,I was going to come back",1,0,2022-03-30 02:11:12
"I love this app. It's so much more then just a workout app. With nutritional meals that taste amazing, meditation and whole community of people, it's easy to use, work and stay motivated.",5,0,2021-08-08 13:57:00
Best app I ever used. I've lost weight fast in the first 6 weeks. Now putting on muscle and getting ripped. Definitely reccomend it to anyone struggling. Just dont give up! Keep going I only got better after week 4.,5,0,2021-02-17 19:50:49
"Amazing, simply amazing! Love the loads of exercises and meal ideas! Provides plenty of mental health and care. This was the best decision I've made this past year!",5,0,2021-02-20 22:07:21
Signed up to this under the 6 week 'lockdown' trial and it's kept me trim and energised despite only being able to workout in the kitchen or garden! Lots of variety of exercise and different timed sessions to fit into your schedule with good instructors. Sign up if you miss the gym!,5,0,2020-06-20 16:15:29
This workout app has changed my mind and body! I've done beachbody and countless other at home workout programs and this one is big far my favorite. From the customizable recipe book/grocery list to the mental health daily routines Centr is the best,5,1,2020-04-08 23:50:50
"It surpasses most other training apps by not only offering a variety of training styles but also having a plethora of healthy lifestyle resources. Nutrition, meditation, etc... It's all there.",4,1,2020-08-24 15:53:25
"I love it. Starting workout after 9 years and each day looking forward to doing my workout with them. It has all i need . Warm up, cool down. Meal plans and meditation are all together. There is no need to search around and then no excuse to not do the workout 😊 thank you, guys.",5,1,2023-03-30 20:13:03
Amazing app. Workouts and programs are great. Diet plan is also great and easy to follow. Added benefit would be the ability to track your personal progress I.e. weight and measurements,5,0,2022-07-28 09:28:31
"Good, but have experienced glitches with the app not saving workouts and where I'm up to in my program. Also experienced the app freezing during first 2 days of use.",3,9,2021-07-28 20:50:33
Really enjoy the range of workout options available and the different ways they challenge me! Recipes and other content also great. Such a saving grace during covid-19! Thanks team 😊,5,1,2020-04-11 07:30:46
Not very synchronized to the phone app,3,0,2023-05-11 19:47:48
"One of the best wellness apps ever!! Coaches workouts are super fun, the food is so so delicious, and I love the mindfulness. It's a well rounded concept!!",5,1,2021-03-09 19:30:34
"It is customized to your fitness goals with ability to swap workouts if needed with search functions. There are workouts for everyone in here; body building, yoga, HIIT, functional &more. It is like having the gym classes on your phone and if you pay yearly it is cheaper than the cheap gyms. There are meal plans for most everyone. Vegan, Vegetarian, pescetarian, omni, paleo.... if you are WFPB no oil or keto you will have to modify your meal plan. Plus meditations and health related articles.",4,2,2020-08-14 18:22:46
"was charged on the first day irrespective of the trial period. I sent multiple emails for refund of the amount & cancellation of my account but sometimes I would be told ""we're working on it"" & other times emails were ignored! 10 days & I'm still waiting for the refund!",1,23,2021-06-26 14:21:55
"Great Centr Unleash work routines with excellent instructions. I am into my third week at beginner level and already seen improvements. Do to it at your pace and intensity, just keep moving and you will get better. From start to end of video 40 mins.",5,0,2020-06-08 11:42:48
"I've been using centr for just over a year now and it's had such a great impact on my life. When I first signed up it was for the workouts, which are great, but now my favourite part is the recipes and how much I enjoy making the healthy meals!",5,1,2020-02-17 10:04:56
"Shame on this company. I signed up online for the 6-week trial and canceled through the app within my trial period, but was still charged for years subscription because I didn't cancel online. Read the fine print everyone! This company is sneaky!",1,2,2020-05-22 18:26:17
"No other apps connection, ex my fitness ap, Google git or various weight scale apps. No option to see or track weight, no option to even add it....meals come with 600++ calories per serving...is that a joke? Training and food recipes are good, but defeat the purpose of the app, maybe should be reclasified then.",1,1,2020-06-03 00:27:37
"Love Centr! Amazing trainers and workouts, good meals with lots of variety in the meal plan, and the meditations are just what I need at the end of the day. This is the best program I've ever done. Such a supportive community.",5,1,2020-05-04 23:23:55
"Loving this app and the program. Really easy to use, really well. Yolt workouts that push you to your limits. Great menu selection. I Havnt felt hungry once",5,1,2020-05-01 12:19:34
"I was never a huge fan of working out beforehand, but this app is great. I honestly wish that someone has made it clear earlier on in my life that only 30ish minutes of working out per day could achieve such great results.",5,0,2021-03-07 16:21:22
Best way to get fit! Fun workouts you can do anywhere! I use the programs and throw in a bonus here and there with the guided workouts. It keeps me motivated to reach my goals and I look forward to doing it everyday!,5,0,2020-08-01 16:41:05
1000s of dollars value for a small price. Meals are delicous and workouts are fun but challenging. Great team feel. Beginners to advanced it works for all levels.,5,0,2020-09-24 22:14:40
"I did the free week, and just love it. I've lost weight quickly and feel stronger and more functional. The trainers are chilled and can easily motivate you, I've not had one I don't relate to and feel positive about. I get pushed to be the best me that I can be, you need to too.",5,0,2020-09-21 20:47:26
Signed up for the six week free trial they were advertising and ended up getting charged after 7 days. They refused to give me a refund. In the Instagram video posted by Chris Hemsworth he states that it is his app and never mentioned anything about the website. Very misleading.,1,4,2020-04-08 01:06:31
"Been with Centr for a year now, just renewed for another year. You guys keep impressing me, the new Centr Unleashed program is simply amazing! One feature I'm really missing though is to add to favourites workouts and meals, it always takes me a while to find that awesome protein brownie recipe ;)",5,1,2020-06-23 09:44:08
"Best fitness app on the market. It has all kinds of exercise, great recipes, meditation, and a planner that helps keep it all fresh.",5,1,2023-03-21 18:34:00
"Plenty of variety for those who work out everyday, or almost everyday! Lots of physical, mental, and nutritional information as well. I love using the daily planner and following along with the workouts.",5,1,2020-05-10 13:06:26
The best futn sa app ever. Workouts and programs to fit in any level of practice. And the food and meditation recommended are a bonus!! A holistic approach that works and sticks,5,0,2022-08-18 04:53:23
"Cool app. Definitely helping me progress more and keeping me on track rather than trying to do everything myself. Although I would have liked to have seen workouts from Chris as well as all the team, as its him selling the thing. Hence 4 stars",4,7,2020-01-30 17:08:41
"No way to DELETE your account! Massive breach of privacy! Emailed them to ask to delete account - no response in more than a week. I work in IT, and no matter how good/bad/helpful the app is - if you can't sort out your data privacy/maintenance/retainability and deletion policy it is not worth it. Pretty poor on behalf of developer and bad oversight on behalf of Chris and his team. Takes one big data leak to bring all of this down.",1,3,2020-05-12 21:35:13
"Great app,allows me to take care of my body and mind. Also just a quick thought inspired by my Daughter. She is almost 4 and she asked me if she could have similar programm to exercise. I cannot find anything suitable for her age maybe Centr will help ?",5,2,2022-01-25 21:33:30
"Great workouts, awesome recipes and I love the ability to swap them to your needs. Enjoying all the no equipment workouts as well and modifications they show.",5,0,2020-05-31 16:00:21
"Best all around self improving and self care app. The app offers training (From MMA to yoga, muscle building and functional raw training), recipes (breakfast, snacks, shakes, gluten free to vegan you name it), meditations and sleep visualization (kids are hyper the app as a meditation for them) the app also offers blogs and quick tips starting everything with a weekly planner. Great customer service are always there. Join the community, you'll meet Centr legends from near and far! 💪💪",5,1,2020-04-28 22:04:13
The workouts are good and scalable for different levels however sticking with one trainer because repetitive as a lot of the workouts are just splices of each other. Good I a pinch.,4,3,2021-06-08 14:08:01
"This has renewed my love for fitness. Love the workouts as you're doing something new every day. Completed the centr 6 program of 6 weeks and now doing unleashed intermediate. Keeps me focused and works different areas everyday. It's great that you have access to yoga, pilates and loads of strength and hiit workouts too.",5,0,2020-05-27 10:33:40
"Stay away from this app. Upon sign up the app asks you to select a paid membership and u will get a 7 day free trial but as soon as u select a plan it deducts money from ur account and even if soon after u cancel u wont be refunded. I want refund To the Centr team, if you need money u need to let people trial first then charge them if they like the app, by charging them in advance using a scam technique no one will want to use this app. Literally feels like scam, I thought Chris's app is legit",1,3,2022-09-18 06:36:53
Best fitness app I ever used. The guided exercises are exactly what I needed to keep me going. The 6 weeks programs are also a blast and the meals are amazing.,5,0,2020-05-20 07:18:59
There is a ton of great individual workouts as well as programs and even a recipe and grocery guide. Its definitely a great app if you want to workout without equipment or minimal equipment 👍🏼,5,3,2020-09-04 03:01:31
So far so good. Investment worth the coaching. Don't have time for a gym so this has been a great substitute so far. Looking forward to more intense weight oriented workouts. Have not used the food portion yet but recipes look amazing,5,0,2022-06-28 13:14:20
"Same has other was not notified about renewal which is a bit strange to say the least, every other app ways notify before renewal. Very disappointed by the comments from Centr, not very helpful. I assume with the year we have all had this will have happened to so many people and due to having covid very severely , I have not even used the app since last year Poor customer service",2,26,2021-05-16 02:29:15
"There are a great range of workouts from beginner to advance, it's like having your own personal trainer. Also love the meditations and sleep visualization.",5,0,2020-07-29 10:13:49
Great workouts for all levels. Perfect for at home without equipment or in a gym. All the trainers have great banter. Signed up for 1 years after my free trial because this app motivates me to keep training.,5,0,2020-05-24 07:12:07
"Centr has just had so much thought put in to it, from the different levels of activity to suit everyone, to the online community which keeps you motivated. The app runs smoothly without fail, and the results are amazing!",5,1,2020-04-13 05:57:57
Great fast workouts that get results. Easy to do at home with options for minimal equipment and/or none. The meals are delicious also!,5,1,2021-04-07 23:02:33
I have been using this app for more than 14 months and committed to the workouts except the meal plan:p. So far I can see results are good but I'm confident if I stick to meal plan results will be extra ordinary Fingers crossed !!,4,1,2022-04-04 03:13:42
Good workouts and the app works now.,5,0,2023-08-29 06:06:57
"Was very unsure about the app as I used freeletics before hand then cam to this one but jus as easy to use, the training programmes easy to follow with video to go through it with you and the meals packs are ideal for quick midweek meals.",5,1,2022-01-17 14:06:50
"Ok, so hear me out, I got super stoned 1 night and bought the subscription as a joke, thinking it would magically turn me into Thor, didn't actually touch it for like 2 months, I'm NASM certified and was a competitive powerlifer for 4 years, when I sat down to draw up a nutrition plan and workout plan to get rid of my COVID weight my wife reminded me that I had got a year's subscription to actually use it, well I did and I may not go back OMG it's super easy to use and the workouts work 10 stars",5,0,2022-04-28 13:27:42
Makes you rush through the exercises and doesn't slow down to instruct on proper form for beginners. Whooping my ass daily but want to be sure I'm not going to strain something by rushing through circuits.,4,1,2020-04-18 15:47:27
"Absolutely love it! Started on a 6week beginner struggling, but I completed the 6week intermediate and currently on 2nd week of advanced more toned and feeling great! Highly recommend its worth it!",5,0,2020-10-25 23:57:50
I like the app. Good layout and great workouts with diverse crew. Recipes are fun. It can get a bit buggy sometimes.,5,1,2020-05-16 21:14:57
"Everytime I login it says my session expired, so I can't use the app. I prefer freeletics because it's easier to use.",1,6,2023-08-11 10:19:26
Overall great fitness app Some glitches on the video which is annoying in the middle of a workout. Trainers are fantastic and motivating. Recipes and planner is 5 star!!,4,1,2020-04-27 03:07:23
"Overall this is a good work out app and have tasty food recipes. However, be careful with the free subscriptions. I have been charged full price for my free subscription.....",2,2,2021-01-04 19:56:38
Amazing app! Mix of workouts and food options so it never gets boring.some ingredients are not available so I wish they'd have more options but other than a very impressive app even provides options for destressing!,5,0,2020-09-08 17:41:54
"Brilliant app just a little difficult to find the right ingredients for the recipes in NZ. Update: Not sure if the app changed or they suddenly starting stocking the right things I needed but definitely seeing it work better, worthy of a god rating of 5 stars.",5,3,2021-07-21 23:50:22
"Fantastic all in one wellness app. Huge range of workouts and recipes plus meditation. I mostly love that every day is organised for me, all I've got to do is show up!",5,0,2022-02-15 08:29:37
I love it. The recipes are great and you can tailor it so its suits you (e.g. vegan for me- and there are loads of recipes- loads!). I love the meditation options too and the workouts are great. Currently doing the 6 week challenge and the half hour work outs easily fit into my day. Thanks!,5,14,2020-08-06 13:03:16
Excellent workouts with a great team with such varied but engaging personalities. Food menu is great too. I have some new favourite recipes which make me look like a decent cook!,5,3,2022-01-10 07:33:49
Downloaded for the Pilates workouts but impossible to follow along just from the audio and difficult to watch videos while doing it - ended up straining my next trying to watch which defeats purpose!,2,0,2020-03-31 16:09:01
"Great workouts and motivation, keeps you involved, glad to keep using it after the trial :) and ps it was very clear that after the trail you'd be charged the subscription fee YOU decided so those whinging on a current affair take some responsibility for your own actions and all complaining, well Done Chris, love what you're doing",5,0,2020-05-16 13:52:26
"a colleague recommended this app - he raves about it. i saw an add and entered my email address. i have received several marketing emails about their support for US children. i am not against that but, as an Australian, living in Australia, and as the app is promoted by an Austrlian that lives in Australia, i was dismayed that, should i join, i would be supporting the US and US children not Australian children",1,0,2023-01-02 21:53:35
"The right amount of motivation, variety, and customization I need! Plus learning new great tasting, easy to make, healthy recipes!",5,0,2021-02-23 14:49:51
Scam - Stay Away Got the app to try out as a big fan of Chris's outcomes and routine. Being 6'3 is not easy to gain like that. As a truck driver I waa curious to see what I could incorporate. Beware: The people doing this app for Chris will not work with you at all. Greed is king! What Happened: I signed up for the 7 day Free Trial and was advertised that 2 days prior we send you a reminder. The reminder never came and 1 year charge went through. Canceled same day as charge. Refund: DENIED,1,0,2021-06-29 11:17:41
This is by far the best workout and healthy living app I ever tried! It is really easy to use and tailors exercise and food to your skill level and goals. I can't wait for the new Power program to start!,5,0,2021-06-15 22:23:50
"Love love love the food portion. The recipes are simple and delicious. The shopping list feature makes my life so much easier. The workouts are short, but killer. This app is awesome!",5,0,2021-05-27 23:04:55
"Absolutely terrible! These people are scams, they give you a free trial and then make it super hard to cancel and then charge you $119 and say they can't refund me! DO NOT FALL INTO THE TRAP! The training isn't even good, it's all about money.",1,9,2021-09-23 18:34:46
"I've never been so disappointed in an app. While the app itself may be decent, the people behind it only care about a profit. During a pandemic, when people are struggling and thoughts are elsewhere, this company will take money swiftly and leave a ""too bad so sad"" response. Be warned, you don't get alerted on upcoming payments like I've seen many apps do and if you respond right away saying there was an error you'll get nothing but copy and paste. Thanks alot guys, glad your doing so well.....",1,24,2021-01-01 22:55:40
"I needed a way to combat dad bod without leaving my poof wife at home alone with the kids by herself, and this was it. The meal planning alone is worth the money. I have a degree in exercise phys and was a trainer for 3 years, and am really enjoying this app and its programs",5,0,2021-03-04 03:00:04
"Just got this tonight, committed to a year and most of the app is empty. No recipes, no snacks, no grocery list, no workout programs. Lots of errors.",1,6,2021-11-22 00:38:06
"Excellent app, great team of trainers, various styles of workout. This is the only app that motivates me and makes me want to come back for more.",5,1,2021-06-16 12:19:24
"First of all, the app looks good but The no equipment workouts are mostly mma and pilates, there is mostly no body weight workout with varietions, the meals are pretty expensive to make if u want sth simple. It's a bit exclusive for it's price and it doesn't offer much, don't recommend that",3,0,2020-03-26 07:12:49
"Fantastic app for fitness. Covers everything from workouts, nutrition plus meditation and visualisations. Been using the app for over 2 years now and love it 🥰🤩",5,0,2022-07-12 09:55:34
"These workouts are not medium to small house friendly. They feel great, the coached workouts are well designed and flow well, the meal plans are very detailed, so if you're like me with a tiny kitchen and little to no space then I wish you luck. Otherwise everything about the app is fantastic, just seems to assume you have a minimum 2500 Sq ft house with a kitchen made for Gordan Ramsay. I would still recommend to anyone that wants to try this program out. Disclaimer, I bought the year on sale.",5,5,2022-01-11 18:38:58
"I'm studying to become a personal trainer, and after having some practice clients, I felt I needed a trainer myself and damn this is crazy. I'm on the advanced 10-week program, this is absolutely insane but I love it",5,0,2021-08-19 19:55:47
"Have been using centr for a while now and YAY Android app! I'm super disappointed in the shopping list though, I can't add anything?? Please add the option to add things to the shopping list!! This is now added love it!",5,0,2021-01-16 12:00:10
This app has an incredible support group of fellow legends around the world. The Facebook group and app have changed my experience of accountability and view on health completely. Thanks to not only the creators but those out there like me who have joined along.,5,0,2020-02-16 20:49:05
Best health/fitness app I've seen/tried by a country mile. Variety means there's something for everyone - I'm 9 months in loving it with still loads more to try. Couldn't recommend more... good job Chris and co! 💪,5,1,2020-05-15 15:40:29
I'm hooked! Centr is the only fitness app that has kept me engaged long-term. I started out as a beginner to HIIT and I'm still going strong 💪. The meal planner takes the headache out of eating well. Give it a go.,5,0,2020-06-03 10:34:07
"Amazing app! Full of great workouts and programs, meals, meditations and sleep visualizations. Barely ever errors or crashes.",5,0,2023-05-03 01:02:50
"Keeps me consistent, I have so many programs to choose from that suit my style, I never get bored. Very complete app with amazing professionals behind it",5,0,2023-04-24 15:58:57
Best workout app I have ever used! I have tried quite few different app and programs and this is by far my favorite. The food is delicious the workouts are amazing!,5,1,2023-04-11 15:49:18
"Love the workouts! Ashley is the best! Unfortunately i injured my ankle multiple times (not centr exercise related) and the workouts are not all ankle friendly, so i have to pause. But i can't wait to get back into it!",5,6,2021-06-30 15:35:51
Solid app but never works when I try to cast it to Google TV which is a huge bummer. Kind of makes you not want to pay $120 for it if you can't follow the workouts.,2,4,2023-04-18 22:25:27
"I really like the app, but taking away 1 star because after the recent update, I can't seem to cast the videos to my screen anymore. Only the centr logo appears and nothing more.",4,0,2023-04-26 04:22:19
This app is incredible. Easy to follow the workouts as a gym newbie. Bonus is the great recipes and the meditations are pure gold!,5,0,2023-05-20 22:18:20
"This app has helped me lose weight, manage my mental health, and eat better! I can't thank Chris Hemsworth and his team enough. You saved my life, and I truly mean that! Thank you!",5,0,2023-06-29 13:06:25
"Good workouts, good pace, good stretching. Not much more to ask for but wait, awesome meals and meditation on top of that, boo yeah!",5,0,2023-04-13 12:27:25
App not casting with a chromecast device any longer. Have un-installed app and restarted chromecast.... Nothing works.,1,3,2023-04-19 00:06:01
This is way better than I thought it would be. I am ABSOLUTELY loving this app and everything it offers. The workouts are fabulous and I love the format of how they work! I actually look forward to going downstairs and doing my workout now!!,5,1,2020-05-04 12:19:28
"Fantastic app, very polished and easy to navigate through. Great variety of exercises and meal plans. Awesome work team.",5,3,2020-01-07 08:13:51
"If I could give this a minus score I would but 1 star is the lowest it goes. 12 month subscription started after 6 days of the 7 day trial. When contacted they refused refund and said it wasn't possible. Joke company, stay well clear of this app, its very poor as well as the awful customer care",1,43,2021-08-04 13:50:12
"Just the best app to achieve your fitness goals. Is not only exercises, has diets, meditations, relaxation and a general life balance. Just fantastic.",5,1,2020-04-08 00:53:31
Cancelled my subscription on the last day of my trial and they still took the £93.99 from my account the following day and refused to refund the money and tried to say I went a day over my trail period when I started it on the Monday and cancelled it the following Monday which if I'm not mistaken is 7 days !!!!!Absolute Poor customer service would never recommend this app to anyone STAY CLEAR !!!!!!!!!,1,22,2021-09-23 16:19:29
The only workout app I genuinely have no problems with. I thought it was just a celebs face slapped on an app to make some money but I love this the way a goth loves black eyeliner,5,0,2023-07-12 18:23:05
Beginner level isn't for beginners. When the instructor is struggling to get through the session you can't call it beginner level.,3,3,2022-03-23 00:04:52
Like others are saying the app is very buggy. I'm on day three of my 7-day trial and I still can't use the app. Had to create an account on my laptop after the app failed. With the account created I hoped I could log into the app on my S9+...but still no luck. Guess I'll stick with Nike Training Club.,1,35,2020-01-02 01:08:13
"This app has done wonders since the pandemic. I was able to utilize this when all the gyms shut down and now I learned that I don't need a gym membership to stay in shape. The trainers are fun, engaging, and genuine.",5,3,2021-01-11 23:54:57
"Great programs, excellent choice for work outs and coaches, as well as great meal plans and suggestions. Also quick and satisfying results if you work hard and stick to your goals.",5,1,2021-05-01 23:30:31
Just wish it ran in the background while in a different app or when the screen is off. Having to stay in app for timer to work is annoying.,4,1,2022-04-15 03:38:38
"Excellent coached workouts for all levels of fitness. It would be good to have a few tweaks like integration to my fitness pal, recipe apps, samsung health etc.",5,3,2021-12-16 19:52:43
It's so easy to use! Great meals to eat and cook for the family. See massive difference's across my whole body and I feel amazing. It took four weeks to start the new habit of exercising five days a week. Well worth it through! Great job guys!,5,0,2022-08-18 21:30:43
"Great value for money - it’s basically your own personal trainer in an app. Plus meals planned out for you based on your goal & meditations all in one for only $10 a month. The experts are awesome too, they are heaps of fun so workouts are actually kind of enjoyable!",5,3,2020-01-09 10:23:03
"Not a fan of this app tbh. Yes you will lose weight on a 1500 calories diet! But you will be miserable & I highly doubt it would work for myself. Didn't like the limited meals plans either, very repetitive & I do not class ""leftovers"" as a meal option. Will not be returning",2,0,2022-07-02 07:55:07
"Tried a bunch of different apps and find that it gets boring very quickly..I like that this has block programs, self paced, individual workouts and I'm not as easily bored, now been 4 weeks...",5,0,2021-03-08 02:21:39
I used the app for a little while in early 2022. I cancelled the account last February and just noticed they decided to charge me another $120 for ANOTHER year subscription that was cancelled a year ago. No semblance of customer service. Go to some other Hollywood bod to get your gym fix.,1,0,2023-01-31 06:09:36
"Holistic approach to a healthy lifestyle. This app has changed my 15 year old sons life for the better. I initially purchased this for me, but he is using it everyday and we are seeing such positive benfits for him. I love the meditations, blogs and recipes. He loves Da Rulk! Best app ever. Well set out and structured.",5,0,2020-02-14 20:40:46
Usually just use YouTube workouts and liked those as a gym replacement. Thought I was fairly fit but wasn't seeing a huge difference in body and was definitely gaining covid weight. After 2 weeks of using this app I've already noticed changes in strength and fat loss. Love the meditation too and put it on before bed. I also have the down dog app and prefer that for yoga but to be fair I've only tried one yoga video on here and just rather stick with what I already love.,4,21,2020-10-14 15:48:39
Easy to use app with lots of great options for both food and workouts. Would love to see some weights mixed into the daily program.,4,1,2021-09-19 21:13:47
I have used alot of apps to train and this is a great app if you want an all in one platform to train. The app iseasy to use and lots of options to train. The meals have been great as well.,5,0,2022-01-10 12:41:28
Amazing app! Easy to understand and operate. Workouts range from mild to advanced depending on goals. they keep me entertained and sweating!,5,1,2020-04-03 14:36:58
Absolutely can not fault this app. Got so many different programmes to cater for everyone's fitness level/goals and has food guides to go with it. 10/10,5,0,2022-07-13 18:41:23
The best app for fitness ever! I love how easy it Is to navigate through the workouts and meal plans along with the meditations! Definitely a 5 out of 5 stars!!!!,5,0,2022-06-01 00:05:04
"Because of Centr I was able to get in shape in the middle of a pandemic! I was able to convince family and friends to join when everything else was closed. If you don't have time, they have 8, 7 min workouts that burn! This app has everything from workouts that can be done at home with no equipment, to ones with full gym support. It even go me doing yoga and pilates! They also offer a huge amount of receipts that can complement your workout and help you get in the shape you want.",5,15,2021-08-20 06:28:55
Absolutely love this app. It definitely helps keep me accountable for my workouts and diet! Plus the workout are short so easy to fit into a busy schedule.,5,0,2020-10-08 01:20:34
"App is buggy some workouts don't seem to want to load, I keep getting error messages saying try again. For the money invested, I expected to not have to deal with this right at the beginning of usage. Is there an update I'm missing?",2,8,2021-07-29 20:31:38
"The routines and programs are all well thought out and if executed correctly(you have to push yourself and put in the hardwork) you will get a killer workout. The centr 6 program is fun, fast paced and one hell of a body burner. I love it so far. 2 weeks in on my first program and I can already see and feel a difference in my performance and physique. I still have a ways to go before I reach Thor level, but I'm happy over all.",5,16,2021-02-09 01:49:37
"This is outstanding. I love working out and I love Chris Hemsworth. I wish he was in all the workouts, but you can't have it all! Great app, and the recipes and meal planning section is really useful",5,3,2020-01-01 08:14:21
Best workout app I have ever used. Variety of trainers so you can choose your favorite. Great meal suggestions and lots of mental health resources too! Worth the year subscription!,5,1,2020-06-10 19:04:54
"This is the best app ever in terms of changing life habits, getting motivated day-to-day to workout. The only thing that someone need to get involved into this app is a day with those challenges. Thank you because thus team is challenging my life.",5,4,2019-12-17 21:28:31
